"Statistic","Quarter","Income Support Recipients","County","Sex","Age Group","Employment Record","UNIT","VALUE"
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Leitrim","Male","All ages","Different Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Leitrim","Male","Under 25 years","Same Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Leitrim","Male","Under 25 years","Different Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Leitrim","Male","25 years and over","Same Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Leitrim","Male","25 years and over","Different Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Leitrim","Female","All ages","Same Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Leitrim","Female","All ages","Different Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Leitrim","Female","Under 25 years","Same Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Leitrim","Female","Under 25 years","Different Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Leitrim","Female","25 years and over","Same Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Leitrim","Female","25 years and over","Different Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Laois","Both sexes","All ages","Same Employer","€","770"
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Laois","Both sexes","All ages","Different Employer","€","563"
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Laois","Both sexes","Under 25 years","Same Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Laois","Both sexes","Under 25 years","Different Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Laois","Both sexes","25 years and over","Same Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Laois","Both sexes","25 years and over","Different Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Laois","Male","All ages","Same Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Laois","Male","All ages","Different Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Laois","Male","Under 25 years","Same Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Laois","Male","Under 25 years","Different Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Laois","Male","25 years and over","Same Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Laois","Male","25 years and over","Different Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Laois","Female","All ages","Same Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Laois","Female","All ages","Different Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Laois","Female","Under 25 years","Same Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Laois","Female","Under 25 years","Different Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Laois","Female","25 years and over","Same Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Laois","Female","25 years and over","Different Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Meath","Both sexes","All ages","Same Employer","€","835"
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Meath","Both sexes","All ages","Different Employer","€","632"
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Meath","Both sexes","Under 25 years","Same Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Meath","Both sexes","Under 25 years","Different Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Meath","Both sexes","25 years and over","Same Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Meath","Both sexes","25 years and over","Different Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Meath","Male","All ages","Same Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Meath","Male","All ages","Different Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Meath","Male","Under 25 years","Same Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Meath","Male","Under 25 years","Different Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Meath","Male","25 years and over","Same Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Meath","Male","25 years and over","Different Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Meath","Female","All ages","Same Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Meath","Female","All ages","Different Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Meath","Female","Under 25 years","Same Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Meath","Female","Under 25 years","Different Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Meath","Female","25 years and over","Same Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Meath","Female","25 years and over","Different Employer","€",""
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Monaghan","Both sexes","All ages","Same Employer","€","695"
"Income in previous period (t-1)","2021Q3","No supports in current period or previous period (t-1)","Co. Monaghan","Both sexes","All ages","Different Employer","€","498"
